#GC_content(%)	Normalised coverage	Num_windows
# Column 2 = desired_bam_coverage / ref_coverage , for this GC%
# Column 3 is optional, but useful to generate a precise number of simulated reads
0	1.0000000	816160
2	1.0000000	837454
4	1.0000000	1230102
6	1.0000000	1686423
8	1.0000000	2690638
10	1.0000000	4577136
12	1.0000000	8466363
14	1.0000000	15558646
16	1.0000000	27792248
18	1.0000000	46884995
20	1.0000000	74349369
22	0.9372086	110098426
24	0.8587064	152968446
26	0.8275988	199597749
28	0.8128749	246037956
30	0.8242441	289323536
32	0.8415586	325896697
34	0.8624385	352660924
36	0.8957215	367594666
38	0.9272131	369846381
40	0.9407128	359401798
42	0.9439427	337560573
44	0.9423469	309599878
46	0.9532909	279275826
48	0.9600580	250537075
50	0.9655342	226879624
52	1.0000000	209443315
54	0.9408396	195419063
56	0.8529945	179951097
58	0.8020479	158698723
60	0.7637538	130457722
62	0.7508049	98833146
64	0.7528954	69934612
66	0.7699404	47315156
68	0.7874073	31054265
70	0.8171686	20192634
72	0.8434613	13063899
74	0.8709620	8579697
76	0.9187793	5708161
78	0.9797961	3881139
80	1.0000000	2825989
82	1.0000000	2141130
84	1.0000000	1566763
86	1.0000000	983890
88	1.0000000	515041
90	1.0000000	267514
92	1.0000000	134815
94	1.0000000	60581
96	1.0000000	25091
98	1.0000000	8896
100	1.0000000	3762

